Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather,City
01-06-2012 00:00,-9.6,-16.8,56,13,25,100.81,Cloudy,New York
01-06-2012 01:00,-10,-17.3,55,17,25,100.81,Cloudy,Los Angeles
01-06-2012 02:00,-10.5,-16.5,61,9,25,100.84,Cloudy,Chicago
01-06-2012 03:00,-10.6,-16,64,0,9.7,100.76,Snow,Houston
01-06-2012 04:00,-11.3,-16.1,68,15,3.2,100.7,Snow,Phoenix
01-06-2012 05:00,-11.8,-16,71,19,2.8,100.61,Snow,Philadelphia
01-06-2012 06:00,-12,-16.2,71,22,4.8,100.58,Snow,San Antonio
01-06-2012 07:00,-14.4,-16.3,85,22,2.4,100.52,Snow,San Diego
01-06-2012 08:00,-12.3,-16.2,73,24,11.3,100.51,Snow,Dallas
01-06-2012 09:00,-12.5,-16.7,71,26,19.3,100.53,Snow,San Jose
01-06-2012 10:00,-12.3,-16.3,72,28,16.1,100.47,Snow,Austin
01-06-2012 11:00,-12,-16,72,17,24.1,100.36,Snow,Jacksonville
01-06-2012 12:00,-11.7,-15.4,74,28,19.3,100.23,Snow,Fort Worth
01-06-2012 13:00,-11.9,-15.6,74,20,24.1,100.13,Snow,Columbus
01-06-2012 14:00,-11.2,-14.8,75,19,19.3,100.07,Snow,Charlotte
01-06-2012 15:00,-11.5,-14.4,79,19,12.9,100.06,Snow,New York
01-06-2012 16:00,-11.6,-14.7,78,19,19.3,100.1,Snow,Los Angeles
01-06-2012 17:00,-11.2,-14.3,78,17,25,100.15,Snow,Chicago
01-06-2012 18:00,-10.5,-13.6,78,17,19.3,100.12,Cloudy,Houston
01-06-2012 19:00,-10.5,-13.4,79,15,25,100.13,Cloudy,Phoenix
01-06-2012 20:00,-10.2,-13,80,11,25,100.15,Cloudy,Philadelphia
01-06-2012 21:00,-9.5,-12.5,79,9,25,100.13,Cloudy,San Antonio
01-06-2012 22:00,-9.3,-12.2,79,11,19.3,100.16,Cloudy,San Diego
01-06-2012 23:00,-9,-12,79,7,16.1,100.15,Cloudy,Dallas
01-07-2012 00:00,-8.7,-11.7,79,6,16.1,100.13,Cloudy,San Jose
01-07-2012 01:00,-8.5,-11.4,80,0,19.3,100.11,Cloudy,Austin
01-07-2012 02:00,-8.1,-11.1,79,4,19.3,100.15,Cloudy,Jacksonville
01-07-2012 03:00,-7.8,-10.8,79,4,19.3,100.12,Cloudy,Fort Worth
01-07-2012 04:00,-7.5,-10.5,79,6,19.3,100.1,Cloudy,Columbus
01-07-2012 05:00,-6.9,-9.7,80,4,19.3,100.12,Cloudy,Charlotte
01-07-2012 06:00,-6.7,-9.5,80,7,16.1,100.12,Cloudy,New York
01-07-2012 07:00,-7,-9.7,81,7,16.1,100.16,Cloudy,Los Angeles
01-07-2012 08:00,-6.4,-9,82,9,8,100.1,"Freezing Drizzle,Fog",Chicago
01-07-2012 09:00,-6.1,-8.7,82,7,9.7,100.15,"Freezing Rain,Fog",Houston
01-07-2012 10:00,-5.7,-8,84,7,8,100.13,Freezing Rain,Phoenix
01-07-2012 11:00,-5.4,-7.7,84,9,9.7,100.08,Freezing Drizzle,Philadelphia
01-07-2012 12:00,-5.5,-7.8,84,13,9.7,100.05,Freezing Drizzle,San Antonio
01-07-2012 13:00,-4.8,-7.2,83,15,9.7,100.07,Freezing Rain,San Diego
01-07-2012 14:00,-4.4,-6.9,83,6,8,100.09,Snow,Dallas
01-07-2012 15:00,-3.7,-6.1,83,11,8,100.09,Snow,San Jose
01-07-2012 16:00,-3.6,-5.9,84,0,8,100.15,Snow,Austin
01-07-2012 17:00,-3.1,-5.4,84,13,8,100.27,Snow,Jacksonville
01-07-2012 18:00,-3.2,-5.3,85,6,9.7,100.33,Snow,Fort Worth
01-07-2012 19:00,-3,-5,86,6,8,100.41,Snow,Columbus
01-07-2012 20:00,-1.8,-3.7,87,4,9.7,100.48,Snow,Charlotte
01-07-2012 21:00,-1.3,-3.1,88,0,6.4,100.5,Snow,New York
01-07-2012 22:00,-1.5,-3,89,4,4,100.54,Fog,Los Angeles
01-07-2012 23:00,0.4,-1.5,87,22,9.7,100.62,Snow,Chicago
01-08-2012 00:00,0.6,-3.2,76,32,25,100.72,Cloudy,Houston
01-08-2012 01:00,-0.6,-4.6,74,32,25,100.8,Mostly Cloudy,Phoenix
01-08-2012 02:00,-1.7,-6.2,71,30,25,100.98,Mostly Cloudy,Philadelphia
01-08-2012 03:00,-3.5,-8.3,69,32,25,101.13,Mainly Clear,San Antonio
01-08-2012 04:00,-4.4,-9.2,69,22,25,101.21,Mainly Clear,San Diego
01-08-2012 05:00,-5.9,-10.5,70,13,25,101.33,Mainly Clear,Dallas
01-08-2012 06:00,-5.8,-10.8,68,13,25,101.47,Cloudy,San Jose
01-08-2012 07:00,-5.6,-10.3,69,11,25,101.59,Cloudy,Austin
01-08-2012 08:00,-5.9,-10.7,69,11,24.1,101.7,Snow,Jacksonville
01-08-2012 09:00,-6.4,-11.9,65,17,24.1,101.81,Snow,Fort Worth
01-08-2012 10:00,-6.5,-11.6,67,17,9.7,101.89,Snow,Columbus
01-08-2012 11:00,-7.1,-12.6,65,22,24.1,101.92,Snow,Charlotte
01-08-2012 12:00,-6.7,-11.9,66,15,24.1,101.9,Snow,New York
01-08-2012 13:00,-6.5,-12.4,63,15,24.1,101.94,Cloudy,Los Angeles
01-08-2012 14:00,-6.5,-12,65,19,24.1,101.97,Mostly Cloudy,Chicago
01-08-2012 15:00,-6.6,-12.9,61,20,48.3,102.04,Mostly Cloudy,Houston
01-08-2012 16:00,-6.6,-13.3,59,20,24.1,102.09,Mostly Cloudy,Phoenix
01-08-2012 17:00,-7.2,-13.8,59,17,25,102.17,Mainly Clear,Philadelphia
01-08-2012 18:00,-8.1,-14.1,62,17,25,102.23,Mainly Clear,San Antonio
01-08-2012 19:00,-8,-13.9,62,15,25,102.26,Mostly Cloudy,San Diego
01-08-2012 20:00,-8.3,-13.7,65,15,25,102.28,Mostly Cloudy,Dallas
01-08-2012 21:00,-8.3,-13.9,64,11,25,102.26,Mostly Cloudy,San Jose
01-08-2012 22:00,-8.7,-14,65,7,25,102.22,Mostly Cloudy,Austin
01-08-2012 23:00,-9,-13.9,68,7,25,102.22,Mostly Cloudy,Jacksonville
01-09-2012 00:00,-9.2,-14.3,66,6,25,102.17,Mostly Cloudy,Fort Worth
01-09-2012 01:00,-9.8,-14.5,68,0,25,102.13,Mostly Cloudy,Columbus
01-09-2012 02:00,-9,-14.1,66,4,25,102.15,Mostly Cloudy,Charlotte
01-09-2012 03:00,-8.8,-13.2,70,0,25,102.11,Cloudy,New York
01-09-2012 04:00,-8.5,-13.2,69,9,25,102.02,Cloudy,Los Angeles
01-09-2012 05:00,-8.4,-12.7,71,11,25,101.93,Cloudy,Chicago
01-09-2012 06:00,-7.7,-11.9,72,11,25,101.86,Cloudy,Houston
01-09-2012 07:00,-6.8,-11,72,15,25,101.8,Mostly Cloudy,Phoenix
01-09-2012 08:00,-5.9,-10.5,70,13,16.1,101.74,Snow,Philadelphia
01-09-2012 09:00,-5.4,-9.2,75,11,12.9,101.68,Snow,San Antonio
01-09-2012 10:00,-4.8,-8.3,76,9,16.1,101.64,Snow,San Diego
01-09-2012 11:00,-3.7,-7.2,77,7,24.1,101.54,Snow,Dallas
01-09-2012 12:00,-2.5,-6.6,73,9,24.1,101.4,Cloudy,San Jose
01-09-2012 13:00,-1.7,-5.8,74,7,24.1,101.27,Cloudy,Austin
01-09-2012 14:00,-1.4,-5.1,76,7,24.1,101.2,Cloudy,Jacksonville
01-09-2012 15:00,-1,-5.1,74,9,24.1,101.13,Mostly Cloudy,Fort Worth
01-09-2012 16:00,-1.3,-5.7,72,11,24.1,101.05,Mostly Cloudy,Columbus
01-09-2012 17:00,-1.4,-5.8,72,15,24.1,100.96,Mostly Cloudy,Charlotte
01-09-2012 18:00,-1,-5.6,71,20,25,100.9,Mostly Cloudy,New York
01-09-2012 19:00,-1.1,-5.8,70,19,25,100.83,Mostly Cloudy,Los Angeles
01-09-2012 20:00,-1.5,-6.2,70,15,25,100.77,Mostly Cloudy,Chicago
01-09-2012 21:00,-1.7,-6.3,71,11,25,100.64,Mostly Cloudy,Houston
01-09-2012 22:00,-0.3,-6.3,64,19,25,100.54,Mostly Cloudy,Phoenix
01-09-2012 23:00,-0.2,-6.1,64,17,25,100.45,Cloudy,Philadelphia
01-10-2012 00:00,2.5,-5.2,57,30,25,100.38,Cloudy,San Antonio
01-10-2012 01:00,2.3,-3.4,66,35,25,100.28,Snow,San Diego
01-10-2012 02:00,1.4,-2.5,75,19,6.4,100.23,Snow,Dallas
01-10-2012 03:00,1.6,-2,77,28,25,100.16,Snow,San Jose
01-10-2012 04:00,1.2,-1.7,81,26,25,100.07,Cloudy,Austin
01-10-2012 05:00,0.8,-1.2,86,30,9.7,100.02,"Rain,Snow",Jacksonville
01-10-2012 06:00,0.7,-1.2,87,30,8,100.04,Snow,Fort Worth
01-10-2012 07:00,1.5,-0.7,85,20,8,100.08,Snow,Columbus
01-10-2012 08:00,1.2,-1.1,85,24,16.1,100.11,Cloudy,Charlotte
01-10-2012 09:00,1.6,-0.8,84,17,19.3,100.23,Cloudy,New York
01-10-2012 10:00,2,-0.9,81,24,24.1,100.27,Mostly Cloudy,Los Angeles
01-10-2012 11:00,2.6,-1.1,77,22,24.1,100.29,Mainly Clear,Chicago
01-10-2012 12:00,1.4,-3.1,72,30,24.1,100.32,Mostly Cloudy,Houston
01-10-2012 13:00,0.7,-5.4,64,26,24.1,100.36,Mostly Cloudy,Phoenix
01-10-2012 14:00,-0.2,-6.2,64,26,24.1,100.45,Mainly Clear,Philadelphia
01-10-2012 15:00,-1.4,-7.9,61,30,24.1,100.65,Mainly Clear,San Antonio
01-10-2012 16:00,-3.1,-10.9,55,30,24.1,100.81,Mostly Cloudy,San Diego
01-10-2012 17:00,-4,-12,54,17,24.1,100.91,Mostly Cloudy,Dallas
01-10-2012 18:00,-4.9,-12.7,54,15,25,101.04,Mostly Cloudy,San Jose
01-10-2012 19:00,-5.7,-13.8,53,15,25,101.15,Mostly Cloudy,Austin
01-10-2012 20:00,-6.4,-14.3,53,13,25,101.24,Mostly Cloudy,Jacksonville
01-10-2012 21:00,-6.6,-13.6,57,9,25,101.32,Mostly Cloudy,Fort Worth
01-10-2012 22:00,-7.3,-14.7,55,13,25,101.34,Mostly Cloudy,Columbus
01-10-2012 23:00,-8.6,-15.6,57,19,25,101.44,Mostly Cloudy,Charlotte
01-11-2012 00:00,-9.5,-16.8,55,17,25,101.43,Mostly Cloudy,New York
01-11-2012 01:00,-10.7,-17.8,56,17,25,101.49,Clear,Los Angeles
01-11-2012 02:00,-12,-18.9,56,19,25,101.57,Clear,Chicago
01-11-2012 03:00,-12.7,-19.4,57,19,25,101.64,Clear,Houston
01-11-2012 04:00,-13.4,-20.1,57,17,25,101.66,Clear,Phoenix
01-11-2012 05:00,-13.9,-21,55,19,25,101.66,Mainly Clear,Philadelphia
01-11-2012 06:00,-14.4,-21.1,57,20,25,101.72,Mainly Clear,San Antonio
01-11-2012 07:00,-14.4,-21,57,13,25,101.77,Mostly Cloudy,San Diego
01-11-2012 08:00,-14.7,-21.4,57,15,24.1,101.8,Mostly Cloudy,Dallas
01-11-2012 09:00,-14.3,-20.8,58,15,24.1,101.81,Mostly Cloudy,San Jose
01-11-2012 10:00,-13.9,-20.9,55,11,19.3,101.89,Cloudy,Austin
01-11-2012 11:00,-13.4,-20.8,54,15,24.1,101.78,Mostly Cloudy,Jacksonville
01-11-2012 12:00,-12.7,-20.4,53,17,24.1,101.68,Cloudy,Fort Worth
01-11-2012 13:00,-12.2,-20,52,19,24.1,101.63,Mostly Cloudy,Columbus
01-11-2012 14:00,-11.4,-19.4,52,20,24.1,101.56,Mostly Cloudy,Charlotte
01-11-2012 15:00,-11.6,-19.9,50,20,24.1,101.61,Mostly Cloudy,New York
01-11-2012 16:00,-11.8,-20.9,47,20,24.1,101.6,Mostly Cloudy,Los Angeles
01-11-2012 17:00,-11.9,-20.1,51,26,24.1,101.56,Mostly Cloudy,Chicago
01-11-2012 18:00,-12,-19.9,52,24,25,101.51,Mostly Cloudy,Houston
01-11-2012 19:00,-11.8,-19.2,54,30,25,101.43,Mostly Cloudy,Phoenix
01-11-2012 20:00,-11.2,-18.1,57,24,25,101.4,Cloudy,Philadelphia
01-11-2012 21:00,-11.2,-16.5,65,19,25,101.32,Cloudy,San Antonio
01-11-2012 22:00,-10.8,-16,65,22,25,101.29,Cloudy,San Diego
01-11-2012 23:00,-10.7,-15.7,67,20,25,101.19,Mostly Cloudy,Dallas
01-12-2012 00:00,-10,-15.2,66,19,25,101.17,Mostly Cloudy,San Jose
01-12-2012 01:00,-9.8,-15.2,65,24,25,101.13,Mostly Cloudy,Austin
01-12-2012 02:00,-9.4,-15,64,26,25,101.08,Cloudy,Jacksonville
01-12-2012 03:00,-9,-14.7,63,33,25,101.02,Cloudy,Fort Worth
01-12-2012 04:00,-8.5,-14.1,64,22,25,100.93,Cloudy,Columbus
01-12-2012 05:00,-8,-13.7,64,30,25,100.81,Cloudy,Charlotte
01-12-2012 06:00,-7.6,-13.1,65,28,25,100.76,Cloudy,New York
01-12-2012 07:00,-7.3,-12.7,65,28,16.1,100.69,Snow Showers,Los Angeles
01-12-2012 08:00,-7.1,-11.3,72,33,6.4,100.61,Snow,Chicago
01-12-2012 09:00,-6.8,-10.5,75,33,3.2,100.54,Snow,Houston
01-12-2012 10:00,-6.2,-9.6,77,35,4.8,100.46,Snow,Phoenix
01-12-2012 11:00,-6,-9.5,76,32,2,100.35,Snow,Philadelphia
01-12-2012 12:00,-5.8,-8.9,79,32,4.8,100.22,Snow,San Antonio
01-12-2012 13:00,-5.8,-8.6,81,33,1.2,100.09,Snow,San Diego
01-12-2012 14:00,-5.7,-8.5,81,28,1.2,99.97,Snow,Dallas
01-12-2012 15:00,-5.2,-7.6,83,26,0.8,99.9,Moderate Snow,San Jose
01-12-2012 16:00,-4.9,-7.3,83,33,0.6,99.88,Moderate Snow,Austin
01-12-2012 17:00,-5.1,-7.6,83,33,1,99.83,Snow,Jacksonville
01-12-2012 18:00,-5.4,-8.1,81,35,1.2,99.76,Snow,Fort Worth
01-12-2012 19:00,-5,-7.6,82,30,4,99.72,Snow,Columbus
01-12-2012 20:00,-5,-7.8,81,28,6.4,99.64,Snow,Charlotte
01-12-2012 21:00,-4.7,-7.6,80,24,6.4,99.56,Snow,New York
01-12-2012 22:00,-4.1,-6.8,81,26,25,99.47,Snow,Los Angeles
01-12-2012 23:00,-4.6,-7,83,28,3.2,99.4,Snow,Chicago
1/13/2012 0:00,-5.1,-7.5,83,28,2.4,99.3,Snow,Houston
1/13/2012 1:00,-5,-7.7,81,24,4.8,99.24,Snow,Phoenix
1/13/2012 2:00,-4.8,-7.5,81,22,25,99.22,Snow,Philadelphia
1/13/2012 3:00,-4.5,-6.9,83,19,4.8,99.19,"Freezing Drizzle,Snow",San Antonio
1/13/2012 4:00,-5,-7.4,83,24,11.3,99.13,Cloudy,San Diego
1/13/2012 5:00,-5.1,-7.7,82,20,12.9,99.06,Cloudy,Dallas
1/13/2012 6:00,-5.4,-7.8,83,22,16.1,98.94,Cloudy,San Jose
1/13/2012 7:00,-5.1,-7.7,82,22,16.1,98.84,Cloudy,Austin
1/13/2012 8:00,-5.1,-7.5,83,26,8,98.69,Freezing Rain,Jacksonville
1/13/2012 9:00,-5,-7.3,84,32,4.8,98.56,"Freezing Rain,Snow Grains",Fort Worth
1/13/2012 10:00,-4.8,-7.2,83,26,12.9,98.44,Freezing Drizzle,Columbus
1/13/2012 11:00,-4.8,-7.3,83,28,9.7,98.22,Freezing Rain,Charlotte
1/13/2012 12:00,-4.8,-7.5,81,24,2,98.07,Snow,New York
1/13/2012 13:00,-4.9,-7.3,83,20,1.2,97.99,Snow,Los Angeles
1/13/2012 14:00,-4.8,-7,85,6,2,98.07,Snow,Chicago
1/13/2012 15:00,-4.3,-6.5,85,13,8,98.1,Snow,Houston
1/13/2012 16:00,-3.7,-6,84,11,6.4,98.16,Snow,Phoenix
1/13/2012 17:00,-2.9,-4.8,87,15,1.6,98.23,Snow,Philadelphia
1/13/2012 18:00,-1.7,-3.3,89,26,16.1,98.32,Snow,San Antonio
1/13/2012 19:00,-2.5,-4.5,86,33,2,98.6,Snow,San Diego
1/13/2012 20:00,-3.2,-5.1,87,32,2,98.89,Snow,Dallas
1/13/2012 21:00,-4.8,-7.9,79,37,4.8,99.09,"Snow,Blowing Snow",San Jose
1/13/2012 22:00,-5.5,-10.1,70,32,12.9,99.28,Snow,Austin
1/13/2012 23:00,-7.6,-11.2,75,35,9.7,99.51,"Snow,Blowing Snow",Jacksonville
1/14/2012 0:00,-8.9,-13.1,72,39,9.7,99.67,"Snow,Blowing Snow",Fort Worth
1/14/2012 1:00,-9.7,-14.3,69,24,12.9,99.85,Snow,Columbus
1/14/2012 2:00,-11.2,-15.5,70,28,9.7,100.01,"Snow,Blowing Snow",Charlotte
1/14/2012 3:00,-12,-16.2,71,24,8,100.16,"Snow,Blowing Snow",New York
